id,type,events,start_date,end_date,translated_text
8,组织工作,"中共中央转发上海市委《关于解决所谓“一月革命”问题的请示报告》。《报告》指出,所谓“一月革命”,是指从1967年1月4日张春桥、姚文元回到上海,到2月5日建立“上海人民公社”这一段时间内,他们从上海打开缺口,进行全面夺权的阴谋活动。在“一月革命”中被公开点名批判的陈丕显,曹荻秋、魏文伯、杨西光等同志,所有受迫害的赤卫队等群众组织和干部、群众,以及一切假案,错案、冤案,予以彻底平反,恢复名誉,切诬陷不实之词,统统予以推倒。",1979-01-04,1979-01-04,"On the 4th, the CPC Central Committee approved Peng Chong as the first secretary of the Shanghai Municipal Committee and agreed to him as the director of the Municipal Revolutionary Committee; Liang Buting as the second secretary of the Qinghai Provincial Committee; Zhao Lin and Qiang Xiaochu as the secretaries of the Shandong Provincial Committee and agreed to them as deputy directors of the Provincial Revolutionary Committee; agreed to Wang Kewen, Wu Guangtang and Guo Qinan as deputy directors of the Shanxi Provincial Revolutionary Committee; agreed to Wang Bingxiang and Gao Mianchun as deputy directors of the Gansu Provincial Revolutionary Committee; agreed to Zheng Shaowen as the vice president of the Supreme People's Court, approved Yang Jingren as the party secretary of the State Ethnic Affairs Commission, and approved Yang Dongsheng, Jiang Ping, Hu Jiabin, Xie He and others as deputy directors of the State Ethnic Affairs Commission; approved Timur Dawamat as the secretary of the Xinjiang Uygur Autonomous Region Party Committee and agreed to him as the deputy director of the Revolutionary Committee; agreed to Wu Jinghua, deputy director of the Sichuan Provincial Ethnic Affairs Commission, concurrently as deputy director of the State Ethnic Affairs Commission; Xu Shijie and Jia Qingli as deputy ministers of the Ministry of Chemical Industry. The CPC Central Committee forwarded the Shanghai Municipal Committee's ""Request Report on Solving the So-called ""January Revolution"" Issue"". The report pointed out that the so-called ""January Revolution"" refers to the period from January 4, 1967, when Zhang Chunqiao and Yao Wenyuan returned to Shanghai, to February 5, when they established the ""Shanghai People's Commune"". During this period, they opened a gap in Shanghai and carried out a conspiracy to seize power. Comrades Chen Pixian, Cao Diqiu, Wei Wenbo, Yang Xiguang and others who were publicly criticized in the ""January Revolution"", all persecuted mass organizations and cadres and masses such as the Red Guards, as well as all false cases, wrong cases and unjust cases, have been thoroughly rehabilitated and their reputations restored, and all false accusations have been completely overturned."
8_appt,干部任免,"4日 中共中央批准,彭冲任上海市委第一书记,同意其为市革委会主任;梁步庭任青海省委第二书记;赵林、强晓初任山东省委书记,同意他们为省革委会副主任;同意王克文、武光汤、郭钦安任山西省革委会副主任;同意王秉祥、高绵纯任甘肃省革委会副主任;同意郑绍文任最高人民法院副院长,批准杨静仁任国家民族事务委员会党组书记,同意杨东生、江平、胡嘉宾、谢鹤等任国家民委副主任;批准铁木尔·达瓦买提任新疆维吾尔自治区党委书记,同意其为革委会副主任;同意四川省民委副主任伍精华兼任国家民委副主任;许士杰、贾庆礼任化学工业部副部长。",1979-01-04,1979-01-04,"On the 4th, the CPC Central Committee approved Peng Chong as the first secretary of the Shanghai Municipal Committee and agreed to him as the director of the Municipal Revolutionary Committee; Liang Buting as the second secretary of the Qinghai Provincial Committee; Zhao Lin and Qiang Xiaochu as the secretaries of the Shandong Provincial Committee and agreed to them as deputy directors of the Provincial Revolutionary Committee; agreed to Wang Kewen, Wu Guangtang and Guo Qinan as deputy directors of the Shanxi Provincial Revolutionary Committee; agreed to Wang Bingxiang and Gao Mianchun as deputy directors of the Gansu Provincial Revolutionary Committee; agreed to Zheng Shaowen as the vice president of the Supreme People's Court, approved Yang Jingren as the party secretary of the State Ethnic Affairs Commission, and approved Yang Dongsheng, Jiang Ping, Hu Jiabin, Xie He and others as deputy directors of the State Ethnic Affairs Commission; approved Timur Dawamat as the secretary of the Xinjiang Uygur Autonomous Region Party Committee and agreed to him as the deputy director of the Revolutionary Committee; agreed to Wu Jinghua, deputy director of the Sichuan Provincial Ethnic Affairs Commission, concurrently as deputy director of the State Ethnic Affairs Commission; Xu Shijie and Jia Qingli as deputy ministers of the Ministry of Chemical Industry. The CPC Central Committee forwarded the Shanghai Municipal Committee's ""Request Report on Solving the So-called ""January Revolution"" Issue"". The report pointed out that the so-called ""January Revolution"" refers to the period from January 4, 1967, when Zhang Chunqiao and Yao Wenyuan returned to Shanghai, to February 5, when they established the ""Shanghai People's Commune"". During this period, they opened a gap in Shanghai and carried out a conspiracy to seize power. Comrades Chen Pixian, Cao Diqiu, Wei Wenbo, Yang Xiguang and others who were publicly criticized in the ""January Revolution"", all persecuted mass organizations and cadres and masses such as the Red Guards, as well as all false cases, wrong cases and unjust cases, have been thoroughly rehabilitated and their reputations restored, and all false accusations have been completely overturned."
9,组织工作,"4日——22日 中共中央纪律检查委员会第一次全体会议在
北京举行。中共中央副主席、中纪委第一书记陈云主持会议并讲
了话。他指出,中央纪律检查委员会的基本任务,就是维护党规
党法,整顿党风。会议着重研究了党规党法和搞好党风问题,讨
论并拟订了《关于党内政治生活的若干准则》,讨论并通过了
《中共中央纪律检查委员会关于工作任务、职权范围、机构设置
的规定》。",1979-01-04,1979-01-22,"From the 4th to the 22nd, the first plenary meeting of the Central Commission for Discipline Inspection of the Communist Party of China was held in Beijing. Chen Yun, Vice Chairman of the Communist Party of China and First Secretary of the Central Commission for Discipline Inspection, presided over the meeting and delivered a speech. He pointed out that the basic task of the Central Commission for Discipline Inspection is to uphold the party rules and laws and rectify the party style. The meeting focused on studying the party rules and laws and improving the party style, discussed and drafted the ""Several Principles on Political Life within the Party"", and discussed and passed the ""Regulations of the Central Commission for Discipline Inspection of the Communist Party of China on Work Tasks, Scope of Authority, and Organizational Setup""."
10,干部任免,"9日 中共中央同意国家科学技术委员会党组、中央组织部
关于恢复国务院科学技术干部局的建议,并确定了国务院科技干
部局的编制、领导关系和主要任务。",1979-01-09,1979-01-09,"On the 9th, the CPC Central Committee agreed to the proposal of the Party Group of the State Science and Technology Commission and the Organization Department of the Central Committee to restore the State Council Science and Technology Cadre Bureau, and determined the establishment, leadership relationship and main tasks of the State Council Science and Technology Cadre Bureau."
11,干部任免,"10日 中共中央批准,文敏生任黑龙江省委书记;同意刘
有光任第七机械工业部第一副部长,并批准其为党组第二书记,
陆平、张钧任七机部党组副书记,同意林爽、梁骥、鲁之沫、李
明实、张镰斧任七机部副部长。",1979-01-10,1979-01-10,"On the 10th, the CPC Central Committee approved Wen Minsheng as the Secretary of the Heilongjiang Provincial Party Committee; approved Liu Youguang as the First Deputy Minister of the Seventh Ministry of Machine Building, and approved him as the Second Secretary of the Party Group, Lu Ping and Zhang Jun as Deputy Secretaries of the Party Group of the Seventh Ministry of Machine Building, and approved Lin Shuang, Liang Ji, Lu Zhimo, Li Mingshi, and Zhang Jianfu as Deputy Ministers of the Seventh Ministry of Machine Building."
12,组织工作,"11日 中共中央作出《关于地主、富农分子摘帽问题和地、富子女成份问题的决定》。《决定》指出,除了极少数坚持反动立场的以外,凡是多年遵守政府法令,老实劳动,不做坏事的地主、富农分子以及反革命分子,经过群众评审,县革委会批准,一律摘掉帽子,给予农村人民公社社员待遇;地主、富农家庭出身的社员的子女,家庭出身应一律为社员,不再作为地主、富农家庭出身。",1979-01-11,1979-01-11,"On the 11th, the CPC Central Committee issued the ""Decision on the Issue of Removing the Labels of Landlords and Rich Peasants and the Class Status of the Children of Landlords and Rich Peasants"". The ""Decision"" pointed out that, except for a very small number of those who persisted in reactionary positions, all landlords, rich peasants and counter-revolutionaries who had obeyed government laws and regulations for many years, worked honestly and did not do bad things, after being evaluated by the masses and approved by the county revolutionary committee, would all be removed from their labels and given the treatment of rural people's commune members; the children of members from landlord and rich peasant families should all be members of the commune and no longer be regarded as being from landlord and rich peasant families. The CPC Central Committee approved Wang Yifu as the deputy secretary of the Tianjin Municipal Committee and agreed to him as the deputy director of the Municipal Revolutionary Committee; and agreed to Yan Jimin as the deputy director of the Henan Provincial Revolutionary Committee."
12_appt,干部任免,"中共中央批准,王一夫任天津市委副书记,同意其为市革委会副主任;同意阎济民任河南省革委会副主任。",1979-01-11,1979-01-11,"On the 11th, the CPC Central Committee issued the ""Decision on the Issue of Removing the Labels of Landlords and Rich Peasants and the Class Status of the Children of Landlords and Rich Peasants"". The ""Decision"" pointed out that, except for a very small number of those who persisted in reactionary positions, all landlords, rich peasants and counter-revolutionaries who had obeyed government laws and regulations for many years, worked honestly and did not do bad things, after being evaluated by the masses and approved by the county revolutionary committee, would all be removed from their labels and given the treatment of rural people's commune members; the children of members from landlord and rich peasant families should all be members of the commune and no longer be regarded as being from landlord and rich peasant families. The CPC Central Committee approved Wang Yifu as the deputy secretary of the Tianjin Municipal Committee and agreed to him as the deputy director of the Municipal Revolutionary Committee; and agreed to Yan Jimin as the deputy director of the Henan Provincial Revolutionary Committee."
13,干部任免,"12日 中共中央同意,杨放之任国务院外国专家局局长。",1979-01-12,1979-01-12,"On the 12th, the Central Committee of the Communist Party of China agreed to appoint Yang Fangzhi as Director of the Foreign Experts Bureau of the State Council."
14,组织工作,"17日 中共中央批转《关于落实对国民党起义投诚人员政策的请示报告的通知》。《通知》指出:认真落实对起义投诚人员的政策,不仅对恢复党的优良传统是必要的,而且对台湾回归祖国、完成祖国统一大业,有着重要的意义。",1979-01-17,1979-01-17,"On the 17th, the Central Committee of the Communist Party of China approved the ""Notice on the Implementation of the Policy on Kuomintang Uprising and Surrender Personnel"". The ""Notice"" pointed out that conscientiously implementing the policy on uprising and surrender personnel is not only necessary to restore the party's fine traditions, but also has important significance for Taiwan's return to the motherland and the completion of the great cause of national reunification. The CPC Central Committee approved Ji Pengfei as the Minister of the Central External Liaison Department and the leader of the Party's core group; Zhang Guosheng as the executive secretary of the Qinghai Provincial Party Committee, and approved him as the deputy director of the Provincial Revolutionary Committee; Liu Gang as the secretary of the Tianjin Municipal Party Committee; Feng Wenbin as the first deputy secretary of the Party Committee of the General Office of the CPC Central Committee, Deng Liqun and Li Zhong as deputy directors and deputy secretaries of the Party Committee of the General Office of the CPC Central Committee, and Peng Dazhang as the deputy secretary of the Party Committee of the General Office of the CPC Central Committee; An Ziwen as the vice president and deputy secretary of the Party Committee of the Central Party School; Liu Lantao as the secretary of the Party Group of the National Committee of the Chinese People's Political Consultative Conference; approved Zhang Yibai as the deputy secretary-general of the National Committee of the Chinese People's Political Consultative Conference; Ping Jiesan, Zhang Zhiyi, and Fang Zhida as deputy ministers of the United Front Work Department of the CPC Central Committee, Xue Zizheng as deputy minister of the United Front Work Department of the CPC Central Committee and the first deputy secretary-general and deputy secretary of the Party Group of the National Committee of the Chinese People's Political Consultative Conference; Feng Ji as the deputy minister and member of the Party Group of the Ministry of Commerce."
14_appt,干部任免,"中共中央批准,姬鹏飞任中央对外联络部部长、党的核心小组组长;张国声任青海省委常务书记,同意其为省革委会副主任;刘刚任天津市委书记;冯文彬任中央办公厅党委第一副书记,邓力群、李忠任中央办公厅副主任、党委副书记,彭达彰任中央办公厅党委副书记;安子文任中央党校副校长、党委副书记;刘澜涛任全国政协机关党组书记;同意章夷白任全国政协副秘书长;平杰三、张执一、方知达任中共中央统战部副部长,薛子正任中共中央统战部副部长兼全国政协第一副秘书长、机关党组副书记;冯骥任商业部副部长、党组成员。",1979-01-17,1979-01-17,"On the 17th, the Central Committee of the Communist Party of China approved the ""Notice on the Implementation of the Policy on Kuomintang Uprising and Surrender Personnel"". The ""Notice"" pointed out that conscientiously implementing the policy on uprising and surrender personnel is not only necessary to restore the party's fine traditions, but also has important significance for Taiwan's return to the motherland and the completion of the great cause of national reunification. The CPC Central Committee approved Ji Pengfei as the Minister of the Central External Liaison Department and the leader of the Party's core group; Zhang Guosheng as the executive secretary of the Qinghai Provincial Party Committee, and approved him as the deputy director of the Provincial Revolutionary Committee; Liu Gang as the secretary of the Tianjin Municipal Party Committee; Feng Wenbin as the first deputy secretary of the Party Committee of the General Office of the CPC Central Committee, Deng Liqun and Li Zhong as deputy directors and deputy secretaries of the Party Committee of the General Office of the CPC Central Committee, and Peng Dazhang as the deputy secretary of the Party Committee of the General Office of the CPC Central Committee; An Ziwen as the vice president and deputy secretary of the Party Committee of the Central Party School; Liu Lantao as the secretary of the Party Group of the National Committee of the Chinese People's Political Consultative Conference; approved Zhang Yibai as the deputy secretary-general of the National Committee of the Chinese People's Political Consultative Conference; Ping Jiesan, Zhang Zhiyi, and Fang Zhida as deputy ministers of the United Front Work Department of the CPC Central Committee, Xue Zizheng as deputy minister of the United Front Work Department of the CPC Central Committee and the first deputy secretary-general and deputy secretary of the Party Group of the National Committee of the Chinese People's Political Consultative Conference; Feng Ji as the deputy minister and member of the Party Group of the Ministry of Commerce."
15,组织工作,"18日——4月3日 全国党的理论工作务虚会在北京召开。
1月18日,中共中央政治局委员、中央宣传部部长胡耀邦作了
题为《理论工作务虚会引言》的讲话。3月30日,中共中央副
主席邓小平作了关于《坚持四项基本原则》的重要讲话。《讲
话》强调指出,坚持四项基本原则的具体内容是:第一,必须坚
持社会主义道路;第二,必须坚持无产阶级专政;第三,必须坚
持共产党的领导;第四,必须坚持马列主义、毛泽东思想。《讲
话》要求,每个共产党员,决不允许在四项基本原则这个根本立
场上有丝毫动摇。",1979-01-18,1979-04-03,"From January 18 to April 3, the National Party Theoretical Work Conference was held in Beijing. On January 18, Hu Yaobang, member of the Political Bureau of the CPC Central Committee and Minister of the Central Propaganda Department, delivered a speech entitled ""Introduction to the Theoretical Work Conference"". On March 30, Deng Xiaoping, Vice Chairman of the CPC Central Committee, delivered an important speech on ""Upholding the Four Cardinal Principles"". The speech emphasized that the specific content of upholding the four basic principles is: first, we must uphold the socialist road; second, we must uphold the dictatorship of the proletariat; third, we must uphold the leadership of the Communist Party; fourth, we must uphold Marxism-Leninism and Mao Zedong Thought. The speech requires that every Communist Party member must never allow the fundamental position of the four basic principles to be shaken in the slightest."
16,干部任免,"21日 中共中央批准,李世任安徽省委书记;张恺帆任
安徽省委书记,同意其为省革委会副主任;同意牟海秀任四川省
革委会副主任,刘鹤孔、张逢时任第一机械工业部副部长,程
辛、浦均、邓永清、林毅、刘清任第六机械工业部副部长,王林
任水利电力部第一副部长、党组副书记。",1979-01-21,1979-01-21,"On the 21st, the CPC Central Committee approved Li Shi as the Secretary of the Anhui Provincial Party Committee; Zhang Kaifan as the Secretary of the Anhui Provincial Party Committee, and approved him as the Deputy Director of the Provincial Revolutionary Committee; approved Mou Haixiu as the Deputy Director of the Sichuan Provincial Revolutionary Committee, Liu Hekong and Zhang Fengshi as the Deputy Ministers of the First Ministry of Machine Building Industry, Cheng Xin, Pu Jun, Deng Yongqing, Lin Yi, and Liu Qing as the Deputy Ministers of the Sixth Ministry of Machine Building Industry, and Wang Lin as the First Deputy Minister and Deputy Secretary of the Party Group of the Ministry of Water Resources and Electric Power."
17,干部任免,"22日 中共中央批准,吕剑人任陕西省委书记,同意韩怀
志、来金烈、薛耀任第五机械工业部副部长,李建平任轻工业
部副部长。",1979-01-22,1979-01-22,"On the 22nd, the CPC Central Committee approved Lü Jianren as the Secretary of the Shaanxi Provincial Party Committee, and agreed to Han Huaizhi, Lai Jinlie, and Xue Yao as Vice Ministers of the Fifth Machine Industry Ministry, and Li Jianping as Vice Minister of the Light Industry Ministry."
18,组织工作,"27日 国务院发出《关于恢复国务院科学技术干部局的通
知》。该局协助中央组织部统一管理科学技术干部。
任。",1979-01-27,1979-01-27,"On the 27th, the State Council issued the ""Notice on the Restoration of the State Council Science and Technology Cadre Bureau"". The Bureau assists the Central Organization Department in the unified management of science and technology cadres."
19,干部任免,"28日 中共中央同意,彭梦庾任内蒙古自治区委会副主任。",1979-01-28,1979-01-28,"On the 28th, the Central Committee of the Communist Party of China agreed to appoint Peng Mengyu as deputy director of the Inner Mongolia Autonomous Region Committee."
20,干部任免,"31日 中共中央同意,蒋南翔任教育部部长、党组书记;
孙正任商业部副部长。",1979-01-31,1979-01-31,"On the 31st, the CPC Central Committee agreed to appoint Jiang Nanxiang as Minister of Education and Secretary of the Party Group; Sun Zheng as Vice Minister of Commerce."
21,干部任免,"4日 中共中央、中央军委批准,韦国清、杨勇任中央军委
副秘书长。",1979-02-04,1979-02-04,"On the 4th, the CPC Central Committee and the Central Military Commission approved Wei Guoqing and Yang Yong to serve as deputy secretaries-general of the Central Military Commission."
22,组织工作,"7日 中共中央政治局委员、中共中央军委常委、中共海军
委员会第一书记、中国人民解放军海军第一政委苏振华在北京逝
世,终年67岁。",1979-02-07,1979-02-07,"On the 7th, Su Zhenhua, member of the Political Bureau of the CPC Central Committee, member of the Standing Committee of the CPC Central Military Commission, first secretary of the CPC Navy Committee, and first political commissar of the Chinese People's Liberation Army Navy, died in Beijing at the age of 67."
